GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
simplejdbcmapper,io.github.simplejdbcmapper.core,SimpleCache,10,55,1,3,2,14,3,7,2,6
simplejdbcmapper,io.github.simplejdbcmapper.core,InternalUtils,6,51,2,6,2,10,3,4,1,2
simplejdbcmapper,io.github.simplejdbcmapper.core,InsertOperation,12,371,10,38,3,84,10,23,0,9
simplejdbcmapper,io.github.simplejdbcmapper.core,DeleteOperation,0,85,0,2,0,17,0,5,0,4
simplejdbcmapper,io.github.simplejdbcmapper.core,TableMappingProvider,32,425,11,35,6,96,10,27,0,14
simplejdbcmapper,io.github.simplejdbcmapper.core,AnnotationProcessor,17,412,1,65,2,115,1,47,0,15
simplejdbcmapper,io.github.simplejdbcmapper.core,PropertyMapping,11,166,7,13,2,54,8,25,1,22
simplejdbcmapper,io.github.simplejdbcmapper.core,TableMappingProvider.new DatabaseMetaDataCallback() {...},2,9,1,1,0,3,1,2,0,2
simplejdbcmapper,io.github.simplejdbcmapper.core,TableMapping,32,278,6,28,5,64,8,29,2,18
simplejdbcmapper,io.github.simplejdbcmapper.core,UpdateOperation,0,757,6,76,0,172,6,54,0,19
simplejdbcmapper,io.github.simplejdbcmapper.core,SqlAndParams,5,21,2,2,1,7,2,3,0,3
simplejdbcmapper,io.github.simplejdbcmapper.core,SimpleJdbcMapperUtils,5,647,18,74,5,151,18,37,0,9
simplejdbcmapper,io.github.simplejdbcmapper.core,SimpleJdbcMapperSupport,9,132,0,6,3,37,3,16,3,13
simplejdbcmapper,io.github.simplejdbcmapper.core,IdPropertyInfo,5,22,1,1,1,8,1,3,0,3
simplejdbcmapper,io.github.simplejdbcmapper.core,SimpleJdbcMapper,21,140,0,0,5,33,5,19,5,19
simplejdbcmapper,io.github.simplejdbcmapper.core,FindOperation,30,381,2,22,6,80,2,21,1,10
simplejdbcmapper,io.github.simplejdbcmapper.exception,OptimisticLockingException,0,4,0,0,0,2,0,1,0,1
simplejdbcmapper,io.github.simplejdbcmapper.exception,MapperException,4,4,0,0,2,2,1,1,1,1
simplejdbcmapper,io.github.simplejdbcmapper.exception,AnnotationException,0,4,0,0,0,2,0,1,0,1
simplejdbcmapper,io.github.simplejdbcmapper.annotation,IdType,0,15,0,0,0,2,0,1,0,1
